City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
103,Antofagasta,CL,-23.65,-70.4,58.28,78,42,9.62,scattered clouds,2022-07-28 20:06:04
104,Georgetown,MY,5.4112,100.3354,80.89,85,20,4.61,few clouds,2022-07-28 20:01:19
105,Nome,US,64.5011,-165.4064,56.16,71,0,6.91,clear sky,2022-07-28 20:06:32
106,Ribeira Grande,PT,38.5167,-28.7,75.6,69,75,5.75,broken clouds,2022-07-28 19:59:40
107,Khovu-Aksy,RU,51.1333,93.6,49.06,66,78,3.02,broken clouds,2022-07-28 20:06:33
108,Masallatah,LY,32.6167,14.0,78.39,78,0,3.69,clear sky,2022-07-28 20:06:33
109,Goderich,CA,43.7501,-81.7165,77.92,67,11,4.0,few clouds,2022-07-28 20:03:56
110,Talara,PE,-4.5772,-81.2719,72.36,68,0,14.97,clear sky,2022-07-28 20:05:58
111,Saint-Pierre,RE,-21.3393,55.4781,68.92,81,0,6.91,clear sky,2022-07-28 20:06:33
112,Caxito,AO,-8.5785,13.6643,68.92,88,61,3.13,broken clouds,2022-07-28 20:06:34
113,Muros,ES,42.7762,-9.0603,73.69,74,0,8.32,clear sky,2022-07-28 20:06:08
114,Biryusinsk,RU,55.9634,97.8235,56.98,95,100,4.56,overcast clouds,2022-07-28 20:06:34
115,Boende,CD,-0.2167,20.8667,75.4,81,100,1.63,overcast clouds,2022-07-28 20:06:35
116,Caravelas,BR,-17.7125,-39.2481,72.7,72,0,6.38,clear sky,2022-07-28 20:05:09
117,Zhigansk,RU,66.7697,123.3711,66.29,68,99,6.26,overcast clouds,2022-07-28 20:06:35
118,Vila Velha,BR,-20.3297,-40.2925,76.95,79,20,14.97,few clouds,2022-07-28 20:04:12
119,Luchenza,MW,-16.0069,35.3095,54.55,90,0,3.87,clear sky,2022-07-28 20:06:35
120,Golfito,CR,8.639,-83.166,80.74,80,98,3.98,overcast clouds,2022-07-28 20:06:36
121,Saint-Philippe,RE,-21.3585,55.7679,67.21,84,4,8.86,clear sky,2022-07-28 20:00:58
122,Cabo San Lucas,MX,22.8909,-109.9124,94.6,53,20,5.99,few clouds,2022-07-28 20:02:57
123,Stromness,GB,58.965,-3.296,54.88,87,71,10.0,broken clouds,2022-07-28 20:06:36
124,Kodiak,US,57.79,-152.4072,63.91,55,0,6.91,clear sky,2022-07-28 20:03:59
125,Nanakuli,US,21.3906,-158.1547,83.57,50,75,8.05,broken clouds,2022-07-28 20:06:37
126,Jalu,LY,29.0331,21.5482,88.12,34,0,16.08,clear sky,2022-07-28 20:00:28
127,Urucui,BR,-7.2294,-44.5561,95.14,21,0,4.97,clear sky,2022-07-28 20:06:37
128,Bontang,ID,0.1333,117.5,75.56,89,70,4.25,moderate rain,2022-07-28 20:06:37
129,Portland,US,45.5234,-122.6762,95.49,48,16,5.01,few clouds,2022-07-28 20:01:54
130,Saint-Augustin,CA,51.226,-58.6502,56.88,75,100,9.53,overcast clouds,2022-07-28 20:04:34
131,Tuatapere,NZ,-46.1333,167.6833,40.05,91,91,2.77,overcast clouds,2022-07-28 20:04:38
132,Sola,VU,-13.8833,167.55,80.17,78,72,14.88,broken clouds,2022-07-28 20:04:04
133,Severo-Kurilsk,RU,50.6789,156.125,52.77,92,100,9.06,overcast clouds,2022-07-28 20:02:24
134,Ilulissat,GL,69.2167,-51.1,51.82,62,40,4.61,scattered clouds,2022-07-28 20:01:11
135,Victoria,HK,22.2855,114.1577,87.33,80,100,4.0,overcast clouds,2022-07-28 20:01:14
136,Hilo,US,19.7297,-155.09,86.29,72,0,9.22,clear sky,2022-07-28 20:04:23
137,Sura Mare,RO,45.85,24.1667,66.06,88,20,5.01,few clouds,2022-07-28 20:06:38
138,Touros,BR,-5.1989,-35.4608,77.83,78,5,15.46,clear sky,2022-07-28 20:05:11
139,Felanitx,ES,39.4696,3.1483,82.92,74,0,7.54,clear sky,2022-07-28 20:06:39
140,Saint George,US,37.1041,-113.5841,97.25,36,0,12.66,clear sky,2022-07-28 20:01:11
