City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
474,Yar-Sale,RU,62.08,overcast clouds,66.8333,70.8333,Yalemd
475,Ourem,PT,70.56,clear sky,39.6417,-8.5919,Pousada Ourém
477,Belawan,ID,77.29,light rain,3.7755,98.6832,Rumah Mamak Bapak M.Radial
478,Yarim,YE,61.14,overcast clouds,14.298,44.3779,وليد المسوري ابو اسد
479,Labuhan,ID,75.65,broken clouds,-6.8844,112.2051,DoubleFAG
480,Anapskaya,RU,66.43,clear sky,44.89,37.38,Continent Hotel
482,Sal Rei,CV,77.88,clear sky,16.1833,-22.9167,Marine Club Beach Resort
483,Novikovo,RU,66.99,broken clouds,51.1537,37.8879,
484,Barceloneta,PR,88.29,clear sky,18.4505,-66.5385,Manati World Point Inn
485,Chifeng,CN,64.11,moderate rain,42.2683,118.9636,Junyu Tiancheng Hotel
486,Pangkalanbuun,ID,74.73,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
487,La Seyne-Sur-Mer,FR,81.88,clear sky,43.0982,5.8847,Hôtel Première Classe Toulon La Seyne Sur Mer
488,Mabaruma,GY,83.97,few clouds,8.2,-59.7833,Monty Brooms Guest House
489,Pemangkat,ID,78.35,overcast clouds,1.1667,108.9667,Ramah Kost KITA
490,Nileshwar,IN,79.14,scattered clouds,12.25,75.1,Neeleshwar Hermitage
491,Uarini,BR,88.41,broken clouds,-2.99,-65.1083,
492,Kalmar,SE,62.53,broken clouds,56.6616,16.3616,First Hotel Witt
493,Lethem,GY,85.14,overcast clouds,3.3803,-59.7968,Savannah Inn
496,Ugoofaaru,MV,81.55,broken clouds,5.6667,73.0,Ungoofaaru Inn
498,Kirakira,SB,79.05,broken clouds,-10.4544,161.9205,SanBiz Lodge
499,Itacare,BR,72.5,clear sky,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
500,Majene,ID,76.24,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
502,Athabasca,CA,84.52,clear sky,54.7169,-113.2854,Athabasca Lodge Motel
503,Carbondale,US,86.05,scattered clouds,37.7273,-89.2168,Best Western Saluki Inn
504,Solginskiy,RU,62.94,overcast clouds,61.05,41.3428,
505,Bad Frankenhausen,DE,71.01,overcast clouds,51.35,11.1,Hotel Residenz
507,La Union,PE,83.97,clear sky,-5.4,-80.75,Los Portales
508,Husainabad,IN,82.69,scattered clouds,24.5333,84.0167,Mehdinager
509,Kurchum,KZ,71.87,few clouds,48.5722,83.6542,"""Kneda"" Hotel"
512,Astoria,US,74.46,scattered clouds,46.1879,-123.8313,Best Western Astoria Bayfront Hotel
